pop_idx,instance,instance_sha256,batch,cell_id,family,k,n,alpha,m,gen_seed,oracle_cost,rc2_solve_s,rc2_tier,analysis_group,pysat_version
22,data/generated/calib_b/wksat_v100_k3_sr5.20_hr0.00_w1_uniform_s1.wcnf,a4f6be1aaa0ca218be0c3984e5ae20fc729058b84991149ba0b7bca9528d1b8a,calib_b,max3sat_n100_a5.2,max3sat,3,100,5.2,520,1,4,211.01,T2a,tier2,1.9.dev3
23,data/generated/calib_b/wksat_v100_k3_sr5.20_hr0.00_w1_uniform_s2.wcnf,00f00f4ccfa57fb2f7483bd94f85a2574991444a9aadcf343f476c592417e52e,calib_b,max3sat_n100_a5.2,max3sat,3,100,5.2,520,2,5,213.208,T2a,tier2,1.9.dev3
24,data/generated/calib_b/wksat_v100_k3_sr5.20_hr0.00_w1_uniform_s5.wcnf,86e2f31c90e6e1c77ea4a61148545182649f75a41a2251cbcb62d012ed7a02e6,calib_b,max3sat_n100_a5.2,max3sat,3,100,5.2,520,5,4,46.776,T1,lower_ext,1.9.dev3
25,data/generated/calib_b/wksat_v100_k3_sr5.50_hr0.00_w1_uniform_s1.wcnf,ad0179c31501daddf81b2978b2d57ae9fbdc57509cd85eda9c05e880e8762a9a,calib_b,max3sat_n100_a5.5,max3sat,3,100,5.5,550,1,5,173.843,T2a,tier2,1.9.dev3
26,data/generated/calib_b/wksat_v100_k3_sr5.50_hr0.00_w1_uniform_s3.wcnf,e1300e27e840b91233dd80824eb9585bfe4da7d2455a4bd9714b405fa8c706e7,calib_b,max3sat_n100_a5.5,max3sat,3,100,5.5,550,3,5,156.628,T2a,tier2,1.9.dev3
27,data/generated/calib_b/wksat_v100_k3_sr5.50_hr0.00_w1_uniform_s4.wcnf,f2dcaaa1ebd871be0b0071d50e291c677e025523a997d87713ec94540d56519c,calib_b,max3sat_n100_a5.5,max3sat,3,100,5.5,550,4,4,62.006,T2a,tier2,1.9.dev3
28,data/generated/calib_b/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s7.wcnf,4e1ceec953c1d9f2ae3bc1152704a2241d837e59cde7c3f0c4026c0c4ab82267,calib_b,max2sat_n150_a3,max2sat,2,150,3.0,450,7,23,32.347,T1,lower_ext,1.9.dev3
29,data/generated/calib_b/wksat_v150_k2_sr3.15_hr0.00_w1_uniform_s4.wcnf,d72e2fa9792c60f1f6e66483165d1d00f9c58943f28458cf5017475f7122cccc,calib_b,max2sat_n150_a3.15,max2sat,2,150,3.15,472,4,26,300.852,T2b,tier2,1.9.dev3
30,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s1.wcnf,b53a06380af01e12bca2ea12cdaf375ed3af41bc767fd6dc339dbc39d337d226,calib_b,max2sat_n150_a3.3,max2sat,2,150,3.3,495,1,25,34.072,T1,lower_ext,1.9.dev3
31,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s3.wcnf,8e2a8d74e791d6bbdbd2308a19e486e320cb3e08638e177a6ee5d43898998c16,calib_b,max2sat_n150_a3.3,max2sat,2,150,3.3,495,3,27,170.816,T2a,tier2,1.9.dev3
32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,max2sat,2,150,3.3,495,4,28,226.564,T2a,tier2,1.9.dev3
33,data/generated/calib_b/wksat_v150_k3_sr4.80_hr0.00_w1_uniform_s3.wcnf,669e13c0b0f2cdeaf50184b1cce69e68d2e844691cd8bde6a56d79849c227eb1,calib_b,max3sat_n150_a4.8,max3sat,3,150,4.8,720,3,2,34.908,T1,lower_ext,1.9.dev3
34,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s2.wcnf,18c653f3e0bbcf0b4cc959042b4392308c248a965f0a2fc204431f5919008449,calib_b,max2sat_n250_a2.35,max2sat,2,250,2.35,588,2,18,71.063,T2a,tier2,1.9.dev3
35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,max2sat,2,250,2.35,588,3,22,610.255,T3,upper_ext,1.9.dev3
36,data/generated/calib_b/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s10.wcnf,4fcc71c5989460862c892c9ba67f8383c34ec8c86550bec884a56b122c86f4ba,calib_b,max3sat_n250_a4.26,max3sat,3,250,4.26,1065,10,1,53.407,T1,lower_ext,1.9.dev3
37,data/generated/calib_b/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s7.wcnf,72d34e7a3da8965710ba686bce7221d88afa9b97451cc2660efb14995a0ae38d,calib_b,max3sat_n250_a4.26,max3sat,3,250,4.26,1065,7,1,32.977,T1,lower_ext,1.9.dev3
38,data/generated/calib_b/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s8.wcnf,56c796bb3a48c102dd1dc8b7b23569d026700676098bc199b9969d3694ef5af3,calib_b,max3sat_n250_a4.26,max3sat,3,250,4.26,1065,8,1,113.526,T2a,tier2,1.9.dev3
39,data/generated/calib_b/wksat_v250_k3_sr4.35_hr0.00_w1_uniform_s2.wcnf,9bb5c889d02025d1ee908bc35ad0fe5c37ee0b0aaf4b7f89584bd309c8c49407,calib_b,max3sat_n250_a4.35,max3sat,3,250,4.35,1088,2,1,323.722,T2b,tier2,1.9.dev3
40,data/generated/calib_b/wksat_v250_k3_sr4.35_hr0.00_w1_uniform_s5.wcnf,303da7f95d4640f0dcd711a6139922da220676bfb5f79a8d374d958449586f98,calib_b,max3sat_n250_a4.35,max3sat,3,250,4.35,1088,5,1,103.423,T2a,tier2,1.9.dev3
41,data/generated/calib_b/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s6.wcnf,ca5137cf8ba2cc86732c2759a38906c0fb97cf6597fb96a86a561430ddafa920,calib_b,max2sat_n400_a2,max2sat,2,400,2.0,800,6,19,412.73,T2b,tier2,1.9.dev3
42,data/generated/calib_b/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s7.wcnf,03520fc7716aa77f273866f99124fefa9a2753a56af61f50dcdb59a9be7ab7ab,calib_b,max2sat_n400_a2,max2sat,2,400,2.0,800,7,19,131.081,T2a,tier2,1.9.dev3
43,data/generated/calib_b/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s8.wcnf,ca5b36371efe069aa8568076ac151a3c9d01e06b8963048f02ea1b6dae672c4f,calib_b,max2sat_n400_a2,max2sat,2,400,2.0,800,8,20,158.692,T2a,tier2,1.9.dev3
44,data/generated/calib_b/wksat_v400_k2_sr2.15_hr0.00_w1_uniform_s1.wcnf,9a302674b72f8b25227215c129c9f7dece868ce0a2be47221c1518035044aac8,calib_b,max2sat_n400_a2.15,max2sat,2,400,2.15,860,1,21,210.262,T2a,tier2,1.9.dev3
45,data/generated/calib_b/wksat_v400_k2_sr2.15_hr0.00_w1_uniform_s2.wcnf,7298805a1fdcdfbbc1d9946253e6240747e3383ac000545a19667951afca6107,calib_b,max2sat_n400_a2.15,max2sat,2,400,2.15,860,2,18,146.572,T2a,tier2,1.9.dev3
46,data/generated/calib_b/wksat_v400_k2_sr2.15_hr0.00_w1_uniform_s3.wcnf,ed0fd7d9820bb027f948383a2c2d59c64e4c4db6513b89b99dca7ccc2e81ba63,calib_b,max2sat_n400_a2.15,max2sat,2,400,2.15,860,3,20,147.596,T2a,tier2,1.9.dev3
47,data/generated/calib_b/wksat_v400_k2_sr2.15_hr0.00_w1_uniform_s5.wcnf,ea567f0f7e263599f567dfc13ad0315c9f6b6e24e8ea53b203138a0984737c8a,calib_b,max2sat_n400_a2.15,max2sat,2,400,2.15,860,5,21,380.618,T2b,tier2,1.9.dev3
48,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s2.wcnf,39dd93791969893aa4fbeb761eb0f55add5aac12f173a9797ef62049947c1014,calib_b,max2sat_n400_a2.3,max2sat,2,400,2.3,920,2,23,367.162,T2b,tier2,1.9.dev3
49,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s3.wcnf,339f16d54abe3661d575b5f0aaf4f8b3e7eeafa1ae6acb470c758cbc5d7bcfb9,calib_b,max2sat_n400_a2.3,max2sat,2,400,2.3,920,3,23,144.865,T2a,tier2,1.9.dev3
50,data/generated/calib_b/wksat_v400_k2_sr2.30_hr0.00_w1_uniform_s4.wcnf,63cd2eeec00557c23b53c4c9c646c9f0a0f967020f3e22f8faf3f99008e64695,calib_b,max2sat_n400_a2.3,max2sat,2,400,2.3,920,4,20,53.515,T1,lower_ext,1.9.dev3
51,data/generated/calib_b/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s10.wcnf,5959ea58db2a9fa8b70b37544a113ca1af4c0f861cc77c530a04b11fcecd115f,calib_b,max3sat_n50_a8,max3sat,3,50,8.0,400,10,9,35.64,T1,lower_ext,1.9.dev3
52,data/generated/calib_b/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s6.wcnf,3a14298cd1f54c7cbfa57e3c1bad3dcdc96923256bc6e7a1125bfa56ead237a8,calib_b,max3sat_n50_a8,max3sat,3,50,8.0,400,6,11,621.852,T3,upper_ext,1.9.dev3
53,data/generated/calib_b/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s7.wcnf,2c53146d55c17431dfa158c93789c83b2e1346dab20427fa3d9bbbf80f86265f,calib_b,max3sat_n50_a8,max3sat,3,50,8.0,400,7,11,213.237,T2a,tier2,1.9.dev3
54,data/generated/calib_b/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s8.wcnf,ea912a3740a0a571399f7580c816aefa3324b3680db714c3f0e601924c1d73e7,calib_b,max3sat_n50_a8,max3sat,3,50,8.0,400,8,11,648.681,T3,upper_ext,1.9.dev3
55,data/generated/calib_b/wksat_v50_k3_sr8.50_hr0.00_w1_uniform_s2.wcnf,bb96fb751023063900879842846c68c880906416674be693ac3ead671eaf91e0,calib_b,max3sat_n50_a8.5,max3sat,3,50,8.5,425,2,12,612.003,T3,upper_ext,1.9.dev3
56,data/generated/calib_b/wksat_v50_k3_sr8.50_hr0.00_w1_uniform_s3.wcnf,402a90ac29aab57ec92979c6e1694b3252282042b8834d62924d3a30d21417b6,calib_b,max3sat_n50_a8.5,max3sat,3,50,8.5,425,3,9,45.126,T1,lower_ext,1.9.dev3
57,data/generated/calib_b/wksat_v50_k3_sr8.50_hr0.00_w1_uniform_s4.wcnf,ca3df971889566190a1bfb31d4acf114855e12e9c354e317d8373fb8de9e1fbc,calib_b,max3sat_n50_a8.5,max3sat,3,50,8.5,425,4,12,626.747,T3,upper_ext,1.9.dev3
58,data/generated/calib_b/wksat_v50_k3_sr8.50_hr0.00_w1_uniform_s5.wcnf,ba5d8b71ad4628f8c8e75d596dd8c71cb74487d5fb810cbba9c1430d734e0749,calib_b,max3sat_n50_a8.5,max3sat,3,50,8.5,425,5,11,354.613,T2b,tier2,1.9.dev3
59,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s3.wcnf,e7a0d53c9348e03a2fe5ebc1885f868f9115aa781d47efd39b89af0146a359d1,calib_b,max3sat_n50_a9,max3sat,3,50,9.0,450,3,11,152.05,T2a,tier2,1.9.dev3
60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,max3sat,3,50,9.0,450,5,13,847.272,T3,upper_ext,1.9.dev3
61,data/generated/calib_b/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s10.wcnf,e0e5710434a6320bd8f9448b61a1a548d1428619b2f126f34d49b8c61643b701,calib_b,max3sat_n70_a6,max3sat,3,70,6.0,420,10,5,34.918,T1,lower_ext,1.9.dev3
62,data/generated/calib_b/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s7.wcnf,a4b02be277bf2a92743a4782f785c66fd2ee665cdf624eacde65b191e6d8a5a3,calib_b,max3sat_n70_a6,max3sat,3,70,6.0,420,7,7,170.377,T2a,tier2,1.9.dev3
63,data/generated/calib_b/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s9.wcnf,b0e8efdaa1af31f316007d75baf264a9ca6317ea09f3b69292d3a61d4dc746e8,calib_b,max3sat_n70_a6,max3sat,3,70,6.0,420,9,7,367.267,T2b,tier2,1.9.dev3
64,data/generated/calib_b/wksat_v70_k3_sr6.20_hr0.00_w1_uniform_s2.wcnf,3d1f695567b9df8dca4ef7894855b92b0cba8768bf8685e8ed73c72d91063dad,calib_b,max3sat_n70_a6.2,max3sat,3,70,6.2,434,2,7,197.211,T2a,tier2,1.9.dev3
65,data/generated/calib_b/wksat_v70_k3_sr6.20_hr0.00_w1_uniform_s4.wcnf,2de914f690c1febc4ff8185933510cf90cca3531c010668759edeb703ce466e8,calib_b,max3sat_n70_a6.2,max3sat,3,70,6.2,434,4,7,290.487,T2a,tier2,1.9.dev3
66,data/generated/calib_b/wksat_v70_k3_sr6.20_hr0.00_w1_uniform_s5.wcnf,22cb764d83c1d083b11e7660083d5ad102c189497a7218b249bd352fc5c7e34c,calib_b,max3sat_n70_a6.2,max3sat,3,70,6.2,434,5,6,152.505,T2a,tier2,1.9.dev3
67,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s1.wcnf,092822b0dd4f9d236be9a106b39bf3b26037501e5e916fe6c7481ad7340361d9,calib_b,max3sat_n70_a6.5,max3sat,3,70,6.5,455,1,8,436.403,T2b,tier2,1.9.dev3
68,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s3.wcnf,e738757fe767024543d8518c7dfce34262d35309efaf36597f432545fb5dcdb8,calib_b,max3sat_n70_a6.5,max3sat,3,70,6.5,455,3,7,148.075,T2a,tier2,1.9.dev3
69,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s4.wcnf,fc125f4de8ed58b088b5f719e9931c060234609c5ae0ece87044ebd72b964f87,calib_b,max3sat_n70_a6.5,max3sat,3,70,6.5,455,4,7,217.782,T2a,tier2,1.9.dev3
70,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s5.wcnf,375fc3ea17b22a5964d8689ab6b14cbcf266872d177aab7abbf9c5eb892dfc76,calib_b,max3sat_n70_a6.5,max3sat,3,70,6.5,455,5,7,146.388,T2a,tier2,1.9.dev3
