task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
13,m2f_p10ls2p5_005_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,5,data/generated/calib_a/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s4.wcnf,cac83f71adf8e1f3641733007c1c8bf7bb35bccb74fa388859adbb1769b5e4a1,calib_a,max2sat_n150_a3,4,450,24,36.352,T1,lower_ext
14,m2f_p10ls2p5_005_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,5,data/generated/calib_a/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s4.wcnf,cac83f71adf8e1f3641733007c1c8bf7bb35bccb74fa388859adbb1769b5e4a1,calib_a,max2sat_n150_a3,4,450,24,36.352,T1,lower_ext
15,m2f_p10ls2p5_005_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,5,data/generated/calib_a/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s4.wcnf,cac83f71adf8e1f3641733007c1c8bf7bb35bccb74fa388859adbb1769b5e4a1,calib_a,max2sat_n150_a3,4,450,24,36.352,T1,lower_ext
16,m2f_p10ls2p5_006_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,6,data/generated/calib_a/wksat_v150_k3_sr5.00_hr0.00_w1_uniform_s3.wcnf,1bd61c544756086435e145f38cad51c8ca28898ff76478a941a19128c331dabb,calib_a,max3sat_n150_a5,3,750,3,772.234,T3,upper_ext
17,m2f_p10ls2p5_006_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,6,data/generated/calib_a/wksat_v150_k3_sr5.00_hr0.00_w1_uniform_s3.wcnf,1bd61c544756086435e145f38cad51c8ca28898ff76478a941a19128c331dabb,calib_a,max3sat_n150_a5,3,750,3,772.234,T3,upper_ext
18,m2f_p10ls2p5_006_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,6,data/generated/calib_a/wksat_v150_k3_sr5.00_hr0.00_w1_uniform_s3.wcnf,1bd61c544756086435e145f38cad51c8ca28898ff76478a941a19128c331dabb,calib_a,max3sat_n150_a5,3,750,3,772.234,T3,upper_ext
19,m2f_p10ls2p5_007_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,7,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s1.wcnf,3747e40649ca8e3b7150045ad1f5295d385b05011a7a3be6c355ff93bf662bd9,calib_a,max3sat_n250_a4.26,1,1065,1,50.766,T1,lower_ext
20,m2f_p10ls2p5_007_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,7,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s1.wcnf,3747e40649ca8e3b7150045ad1f5295d385b05011a7a3be6c355ff93bf662bd9,calib_a,max3sat_n250_a4.26,1,1065,1,50.766,T1,lower_ext
21,m2f_p10ls2p5_007_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,7,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s1.wcnf,3747e40649ca8e3b7150045ad1f5295d385b05011a7a3be6c355ff93bf662bd9,calib_a,max3sat_n250_a4.26,1,1065,1,50.766,T1,lower_ext
22,m2f_p10ls2p5_008_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,8,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s2.wcnf,a467213a83ad3e50c481e229ce1d133789b3d94a6110592f3080f72af3f16e11,calib_a,max3sat_n250_a4.26,2,1065,1,281.412,T2a,tier2
23,m2f_p10ls2p5_008_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,8,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s2.wcnf,a467213a83ad3e50c481e229ce1d133789b3d94a6110592f3080f72af3f16e11,calib_a,max3sat_n250_a4.26,2,1065,1,281.412,T2a,tier2
24,m2f_p10ls2p5_008_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,8,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s2.wcnf,a467213a83ad3e50c481e229ce1d133789b3d94a6110592f3080f72af3f16e11,calib_a,max3sat_n250_a4.26,2,1065,1,281.412,T2a,tier2
