instance,family,bench_dir,size_mb,tier,profile.completed,profile.status,profile.solve_s,profile.cap_s,over_cap,profile.final_cost,profile.cost_lower_bound,ratio,lb_ratio,profile.solver,profile.error,tier_reason,_source_file,stem
data/unsat250_1000c/uuf250-090.cnf,uuf250,unsat250_1000c,0.0153,T2a,True,optimal,151.173,900.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf250_arr_task_90.jsonl,uuf250-090
data/unsat250_1000c/uuf250-091.cnf,uuf250,unsat250_1000c,0.0153,T1,True,optimal,45.847,900.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf250_arr_task_91.jsonl,uuf250-091
data/unsat250_1000c/uuf250-092.cnf,uuf250,unsat250_1000c,0.0152,T3,False,subprocess_killed,960.11,900.0,True,,1,,,rc2,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,uuf250_arr_task_92.jsonl,uuf250-092
data/unsat250_1000c/uuf250-093.cnf,uuf250,unsat250_1000c,0.0153,T2a,True,optimal,127.973,900.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf250_arr_task_93.jsonl,uuf250-093
data/unsat250_1000c/uuf250-094.cnf,uuf250,unsat250_1000c,0.0153,T2a,True,optimal,129.716,900.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf250_arr_task_94.jsonl,uuf250-094
data/unsat250_1000c/uuf250-095.cnf,uuf250,unsat250_1000c,0.0152,T3,False,subprocess_killed,960.066,900.0,True,,2,,,rc2,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,uuf250_arr_task_95.jsonl,uuf250-095
data/unsat250_1000c/uuf250-096.cnf,uuf250,unsat250_1000c,0.0152,T2a,True,optimal,149.447,900.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf250_arr_task_96.jsonl,uuf250-096
data/unsat250_1000c/uuf250-097.cnf,uuf250,unsat250_1000c,0.0153,T2b,True,optimal,495.832,900.0,False,1.0,1,,,rc2,,300.0<solve_s<=600.0,uuf250_arr_task_97.jsonl,uuf250-097
data/unsat250_1000c/uuf250-098.cnf,uuf250,unsat250_1000c,0.0153,T2b,True,optimal,311.374,900.0,False,1.0,1,,,rc2,,300.0<solve_s<=600.0,uuf250_arr_task_98.jsonl,uuf250-098
data/unsat250_1000c/uuf250-099.cnf,uuf250,unsat250_1000c,0.0152,T2a,True,optimal,128.158,900.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf250_arr_task_99.jsonl,uuf250-099
