instance,family,bench_dir,size_mb,tier,profile.completed,profile.status,profile.solve_s,profile.cap_s,over_cap,profile.final_cost,profile.cost_lower_bound,ratio,lb_ratio,profile.solver,profile.error,tier_reason,_source_file,stem
data/unsat_uuf_diff/uuf250-02.cnf,uuf250,unsat_uuf_diff,0.0152,T3,False,subprocess_killed,660.106,600.0,True,,1,,,rc2,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,uuf_diff_arr_task_33.jsonl,uuf250-02
data/unsat_uuf_diff/uuf250-03.cnf,uuf250,unsat_uuf_diff,0.0153,T2a,True,optimal,67.723,600.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf_diff_arr_task_34.jsonl,uuf250-03
data/unsat_uuf_diff/uuf250-04.cnf,uuf250,unsat_uuf_diff,0.0153,T3,False,subprocess_killed,660.027,600.0,True,,1,,,rc2,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,uuf_diff_arr_task_35.jsonl,uuf250-04
data/unsat_uuf_diff/uuf250-05.cnf,uuf250,unsat_uuf_diff,0.0153,T2a,True,optimal,75.776,600.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf_diff_arr_task_36.jsonl,uuf250-05
data/unsat_uuf_diff/uuf250-06.cnf,uuf250,unsat_uuf_diff,0.0153,T2a,True,optimal,185.431,600.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf_diff_arr_task_37.jsonl,uuf250-06
data/unsat_uuf_diff/uuf250-07.cnf,uuf250,unsat_uuf_diff,0.0153,T2a,True,optimal,154.694,600.0,False,1.0,1,,,rc2,,60.0<solve_s<=300.0,uuf_diff_arr_task_38.jsonl,uuf250-07
data/unsat_uuf_diff/uuf250-08.cnf,uuf250,unsat_uuf_diff,0.0153,T3,False,subprocess_killed,660.105,600.0,True,,1,,,rc2,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+60.0s; recovered_lb_from_progress_file,uuf_diff_arr_task_39.jsonl,uuf250-08
data/unsat_uuf_diff/uuf100-03.cnf,uuf100,unsat_uuf_diff,0.0054,T1,True,optimal,0.013,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_4.jsonl,uuf100-03
data/unsat_uuf_diff/uuf250-09.cnf,uuf250,unsat_uuf_diff,0.0152,T2b,True,optimal,383.872,600.0,False,1.0,1,,,rc2,,300.0<solve_s<=600.0,uuf_diff_arr_task_40.jsonl,uuf250-09
data/unsat_uuf_diff/uuf50-01.cnf,uuf50,unsat_uuf_diff,0.0027,T1,True,optimal,0.012,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_41.jsonl,uuf50-01
